"filename", "language", "Markdown", "JSON", "HTML", "JavaScript", "JavaScript JSX", "SVG", "CSS", "SCSS", "comment", "blank", "total"
"d:\Kaisen 2023\kaisen2023\src\pages\Legals\PrivacyPolicy.jsx", "JavaScript JSX", 0, 0, 0, 0, 78, 0, 0, 0, 0, 9, 87
"d:\Kaisen 2023\kaisen2023\src\pages\Legals\RefundPolicy.jsx", "JavaScript JSX", 0, 0, 0, 0, 13, 0, 0, 0, 0, 2, 15
"d:\Kaisen 2023\kaisen2023\src\pages\Legals\TnC.jsx", "JavaScript JSX", 0, 0, 0, 0, 125, 0, 0, 0, 0, 13, 138
"d:\Kaisen 2023\kaisen2023\src\pages\Payment\Payment.jsx", "JavaScript JSX", 0, 0, 0, 0, 230, 0, 0, 0, 9, 27, 266
"d:\Kaisen 2023\kaisen2023\src\pages\Profile.jsx", "JavaScript JSX", 0, 0, 0, 0, 175, 0, 0, 0, 7, 29, 211
"d:\Kaisen 2023\kaisen2023\src\pages\Proshow\Pronite.jsx", "JavaScript JSX", 0, 0, 0, 0, 144, 0, 0, 0, 0, 14, 158
"d:\Kaisen 2023\kaisen2023\src\pages\Proshow\Proshow.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 153, 0, 22, 175
"d:\Kaisen 2023\kaisen2023\src\pages\SignIn.jsx", "JavaScript JSX", 0, 0, 0, 0, 80, 0, 0, 0, 0, 17, 97
"d:\Kaisen 2023\kaisen2023\src\pages\SignUp.jsx", "JavaScript JSX", 0, 0, 0, 0, 176, 0, 0, 0, 1, 15, 192
"d:\Kaisen 2023\kaisen2023\src\utils\Confetti.jsx", "JavaScript JSX", 0, 0, 0, 0, 61, 0, 0, 0, 0, 14, 75
"d:\Kaisen 2023\kaisen2023\src\utils\FormOptions.js", "JavaScript", 0, 0, 0, 255, 0, 0, 0, 0, 0, 5, 260
"d:\Kaisen 2023\kaisen2023\src\utils\Payment.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 6, 0, 1, 7
"d:\Kaisen 2023\kaisen2023\src\utils\PaymentGateway.js", "JavaScript", 0, 0, 0, 65, 0, 0, 0, 0, 8, 15, 88
"d:\Kaisen 2023\kaisen2023\tailwind.config.cjs", "JavaScript", 0, 0, 0, 10, 0, 0, 0, 0, 1, 0, 11
"d:\Kaisen 2023\kaisen2023\vercel.json", "JSON", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"d:\Kaisen 2023\kaisen2023\vite.config.js", "JavaScript", 0, 0, 0, 5, 0, 0, 0, 0, 1, 2, 8
"d:\Kaisen 2023\kaizen-admin\index.html", "HTML", 0, 0, 13, 0, 0, 0, 0, 0, 0, 1, 14
"d:\Kaisen 2023\kaizen-admin\package-lock.json", "JSON", 0, 5378, 0, 0, 0, 0, 0, 0, 0, 1, 5379
"d:\Kaisen 2023\kaizen-admin\package.json", "JSON", 0, 31, 0, 0, 0, 0, 0, 0, 0, 1, 32
"d:\Kaisen 2023\kaizen-admin\postcss.config.cjs", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"d:\Kaisen 2023\kaizen-admin\public\images\Ambulance.svg", "SVG", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\Kaisen 2023\kaizen-admin\public\images\Ambulance_lights.svg", "SVG", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
